Time (ns) ,Number of positrons
224471,186408
224621,200064
224770,211915
224919,222535
225068,231256
225217,237460
225367,240915
225516,241297
225665,238888
225814,233810
225963,225756
226113,214110
226262,202925
226411,189054
226560,174130
226709,160372
226859,146681
227008,133688
227157,123574
227306,115112
227455,109293
227605,106686
227754,106905
227903,109920
228052,115297
228201,123338
228351,133741
228500,144973
228649,158046
228798,171612
228947,183580
229097,195830
229246,206492
229395,215542
229544,222302
229693,225282
229843,226462
229992,223528
230141,219447
230290,211840
230439,203176
230589,192548
230738,179105
230887,165776
231036,152855
231185,140371
231335,128528
231484,117429
231633,109360
231782,103712
231931,100468
232081,99150
232230,101712
232379,106169
232528,113022
232677,122208
232827,132824
232976,144378
233125,156902
233274,169062
233423,180544
233573,190086
233722,198713
233871,205480
234020,209956
234169,210902
234319,211294
234468,206436
234617,201616
234766,192580
234915,181944
235065,170058
235214,158340
235363,145877
235512,133999
235661,122845
235811,112276
235960,103948
236109,97956
236258,94056
236407,92470
236557,94645
236706,97513
236855,103888
237004,112530
237153,121318
237303,131562
237452,143668
237601,154256
237750,165780
237899,175516
238049,184046
238198,189824
238347,194444
238496,196312
238645,196705
238795,193718
238944,189162
239093,181324
239242,172382
239391,162130
239541,151520
239690,139773
239839,128208
239988,117126
240137,107530
240287,99188
240436,92609
240585,88794
240734,87169
240883,87274
241033,90654
241182,94670
241331,102692
241480,111128
241629,120750
241779,131693
241928,141398
242077,152514
242226,161714
242375,169614
242525,177294
242674,181877
242823,184044
242972,183906
243121,183079
243271,177931
243420,171342
243569,163632
243718,154215
243867,143998
244017,132826
244166,122004
244315,111696
244464,102447
244613,94370
244763,87822
244912,83433
245061,81575
245210,81428
245359,83578
245509,87647
245658,93528
245807,101669
245956,110673
246105,120262
246255,129645
246404,139650
246553,148077
246702,156846
246851,163702
247001,168326
247150,170832
247299,172492
247448,170868
247597,166616
247747,162192
247896,154902
248045,146837
248194,137260
248343,127034
248493,117058
248642,106768
248791,97961
248940,90711
249089,83991
249239,79120
249388,75931
249537,75192
249686,77026
249835,80522
249985,85656
250134,93159
250283,101080
250432,109548
250581,119358
250731,128388
250880,136998
251029,145334
251178,150884
251327,156028
251477,160671
251626,161331
251775,159660
251924,157390
252073,152756
252223,146263
252372,138844
252521,129992
252670,120058
252819,111749
252969,102424
253118,93723
253267,85942
253416,79435
253565,74754
253715,71768
253864,70709
254013,71216
254162,74673
254311,79218
254461,84870
254610,92242
254759,100314
254908,109226
255057,117818
255207,125943
255356,133646
255505,140614
255654,145438
255803,148562
255953,150236
256102,150254
256251,148123
256400,144290
256549,138680
256699,131682
256848,124518
256997,115020
257146,106486
257295,97741
257445,89266
257594,82330
257743,75650
257892,70715
258041,67643
258191,66281
258340,66233
258489,68939
258638,73030
258787,78322
258937,84135
259086,91994
259235,99306
259384,108559
259533,115904
259683,123425
259832,129602
259981,135123
260130,137184
260279,139891
260429,140711
260578,139144
260727,135833
260876,131188
261025,125652
261175,117769
261324,110049
261473,101860
261622,93266
261771,85295
261921,78366
262070,72458
262219,67144
262368,63483
262517,61509
262667,61741
262816,63407
262965,66904
263114,70942
263263,76998
263413,84093
263562,91408
263711,99588
263860,106668
264009,114066
264159,120136
264308,124697
264457,128493
264606,131034
264755,132110
264905,130850
265054,127420
265203,123398
265352,118885
265501,111829
265651,105462
265800,96950
265949,89676
266098,81712
266247,75183
266397,68141
266546,63686
266695,60567
266844,58383
266993,57563
267143,59310
267292,61442
267441,65982
267590,71010
267739,77026
267889,83124
268038,90504
268187,97901
268336,104016
268485,110130
268635,115108
268784,119238
268933,121984
269082,122758
269231,122218
269381,120142
269530,116472
269679,112663
269828,106958
269977,100194
270127,92302
270276,85208
270425,77807
270574,71497
270723,65698
270873,61077
271022,56915
271171,54795
271320,53945
271469,55125
271619,56960
271768,60303
271917,64752
272066,70666
272215,76448
272365,82454
272514,89838
272663,95661
272812,101815
272961,107577
273111,110630
273260,113462
273409,114908
273558,114622
273707,112446
273857,109902
274006,105300
274155,100310
274304,94620
274453,88384
274603,82225
274752,74462
274901,68825
275050,62849
275199,57742
275349,54199
275498,51875
275647,50887
275796,50420
275945,52277
276095,54838
276244,59669
276393,63791
276542,69494
276691,76337
276841,82076
276990,88106
277139,93625
277288,98595
277437,102903
277587,105374
277736,107312
277885,107125
278034,106408
278183,103830
278333,100097
278482,95117
278631,89967
278780,83951
278929,77465
279079,71431
279228,65234
279377,59912
279526,55258
279675,51254
279825,48409
279974,47402
280123,47283
280272,48477
280421,50960
280571,54486
280720,58296
280869,64028
281018,69449
281167,75469
281317,80694
281466,85799
281615,90614
281764,94090
281913,98272
282063,99760
282212,100936
282361,99748
282510,98028
282659,94681
282809,90024
282958,84788
283107,80184
283256,74404
283405,68297
283555,62622
283704,57393
283853,52528
284002,48691
284151,46387
284301,44446
284450,44230
284599,44688
284748,46949
284897,50117
285047,54030
285196,58895
285345,63795
285494,68635
285643,74572
285793,79490
285942,84333
286091,88019
286240,90495
286389,92525
286539,93648
286688,92981
286837,91895
286986,89180
287135,85579
287285,80555
287434,75818
287583,70620
287732,65117
287881,59601
288031,55376
288180,50315
288329,46846
288478,43379
288627,41737
288777,41504
288926,41710
289075,43380
289224,45916
289373,48986
289523,53176
289672,58511
289821,63238
289970,68435
290119,73435
290269,77799
290418,81146
290567,84531
290716,86333
290865,87171
291015,87329
291164,86115
291313,83758
291462,80678
291611,77376
291761,72482
291910,67544
292059,62283
292208,57335
292357,52077
292507,47971
292656,43895
292805,41403
292954,39744
293103,38458
293253,38598
293402,40035
293551,42198
293700,45123
293849,49052
293999,53123
294148,58133
294297,62522
294446,67128
294595,71189
294745,75407
294894,78396
295043,80732
295192,80888
295341,81972
295491,80833
295640,79067
295789,76011
295938,72759
296087,69462
296237,64432
296386,59547
296535,54345
296684,50285
296833,45713
296983,42147
297132,39363
297281,37281
297430,36230
297579,35701
297729,36822
297878,38655
298027,41676
298176,44650
298325,48781
298475,52846
298624,57527
298773,61636
298922,66022
299071,69277
299221,72645
299370,74919
299519,75607
299668,76308
299817,75923
299967,74206
300116,71995
300265,68875
300414,65330
300563,60843
300713,56929
300862,52053
301011,47872
301160,44219
301309,40018
301459,37277
301608,35242
301757,33871
301906,33541
302055,34318
302205,35985
302354,37750
302503,40865
302652,44385
302801,48271
302951,52786
303100,56269
303249,59910
303398,64099
303547,67079
303697,69179
303846,70728
303995,71444
304144,70997
304293,70350
304443,68169
304592,65155
304741,62008
304890,57679
305039,53880
305189,49844
305338,45696
305487,41741
305636,38399
305785,35618
305935,33270
306084,32080
306233,31298
306382,31520
306531,32761
306681,35071
306830,37643
306979,40899
307128,44149
307277,47912
307427,52109
307576,55796
307725,58970
307874,62129
308023,64635
308173,65512
308322,66657
308471,67048
308620,66012
308769,64228
308919,61809
309068,58847
309217,55692
309366,51388
309515,47431
309665,43661
309814,40123
309963,36705
310112,33636
310261,31390
310411,30285
310560,29367
310709,29902
310858,30116
311007,32035
311157,34120
311306,37169
311455,40802
311604,43976
311753,47663
311903,50904
